"","X","ID","number_treats_possible","Group1","Group2","Group3","Group4"
"1",1,"WPS3",1.429359823,6,0,0,0
"2",2,"WPS127",9.569559229,0,6,2,0
"3",3,"WPS128",11.27849003,3,2,5,4
"4",4,"WPS87",3.773076923,0,1,4,0
"5",5,"WPS88",8.257575758,5,0,3,0
"6",6,"WPS89",27.7977208,6,2,0,4
"7",7,"WPS90",4.871895425,2,5,4,0
"8",8,"WPS91",7.307795699,1,0,2,0
"9",9,"WPS92",15.63848039,2,6,3,0
"10",10,"WPS93",4.12724758,3,0,1,0
"11",11,"WPS94",10.31826742,5,2,1,0
"12",12,"WPS95",4.23048048,5,4,3,0
"13",13,"WPS96",13.10169492,6,4,1,0
"14",14,"WPS107",16.04738562,2,6,5,0
"15",15,"WPS108",6.090177134,3,6,1,0
"16",16,"WPS109",3.77124183,3,1,5,0
"17",17,"WPS110",12.94029851,0,6,3,0
"18",18,"WPS111",2.512372635,0,2,0,0
"19",19,"WPS129",13.45173745,3,5,0,0
"20",20,"WPS135",9.495590829,1,6,0,4
"21",21,"WPS136",15.60424967,4,0,3,0
"22",22,"WPS137",14.00163399,1,2,0,0
"23",23,"WPS139",17.69111969,0,1,0,0
"24",24,"WPS140",9.772609819,2,5,4,0
"25",25,"WPS141",15.50173611,2,6,4,0
"26",26,"WPS142",13.03454231,1,4,5,0
"27",27,"WPS143",12.71577381,0,6,3,0
"28",28,"WPS144",12.39182692,3,1,4,0
"29",29,"WPS145",16.67391304,3,0,1,0
"30",30,"WPS151",1.760984848,6,0,0,0
"31",31,"WPS152",9.155660377,1,6,4,0
"32",32,"WPS153",6.259009009,3,5,0,0
"33",33,"WPS154",16.91205674,2,1,5,0
"34",34,"WPS156",3.714067278,2,5,6,0
"35",35,"WPS157",4.60960961,6,4,0,0
"36",36,"WPS169",15.6961178,5,0,2,4
"37",37,"WPS171",6.483193277,3,5,0,0
