"","Individual","seed_weight","Fire_freq","Last_fire","TSF"
"1","GB1Q30",0.00277,4,2020,3
"2","WPS1",0.00239,4,2020,3
"3","WPS2",0.00208,4,2020,3
"4","WPS3",0.00302,4,2020,3
"5","WPS28",0.00517,5,2012,11
"6","WPS31",0.0047,5,2012,11
"7","WPS36",0.00615,5,2012,11
"8","WPS47",0.00589,6,2021,2
"9","WPS48",0.00454,6,2021,2
"10","WPS50",0.00465,6,2021,2
"11","WPS54",0.00414,4,2021,2
"12","WPS55",0.00289,4,2012,11
"13","WPS56",0.00373,4,2021,2
"14","WPS57",0.00411,1,2002,21
"15","WPS58",0.00269,1,2002,21
"16","WPS59",0.00543,1,2002,21
"17","WPS60",0.00564,1,2002,21
"18","WPS61",0.00437,1,2002,21
"19","WPS62",0.00521,1,2002,21
"20","WPS63",0.00579,1,2002,21
"21","WPS64",0.00527,1,2002,21
"22","WPS65",0.00494,1,2002,21
"23","WPS71",0.0037,1,2002,21
"24","WPS73",0.0042,1,2002,21
"25","WPS75",0.00383,1,2002,21
"26","WPS77",0.00704,1,2002,21
"27","WPS78",0.00466,1,2002,21
"28","WPS80",0.0532,1,2002,21
"29","WPS82",0.00461,1,2002,21
"30","WPS83",0.00505,1,2002,21
"31","WPS84",0.00529,1,2002,21
"32","WPS87",0.0026,0,1986,37
"33","WPS88",0.00286,0,1986,37
"34","WPS89",0.00234,0,1986,37
"35","WPS90",0.00255,0,1986,37
"36","WPS91",0.00248,0,1986,37
"37","WPS92",0.00136,0,2004,19
"38","WPS93",0.00241,0,2004,19
"39","WPS94",0.00177,0,2004,19
"40","WPS95",0.00222,0,1986,37
"41","WPS96",0.00177,0,1986,37
"42","WPS97",0.00482,4,2021,2
"43","WPS98",0.00302,4,2021,2
"44","WPS102",0.00422,4,2021,2
"45","WPS103",0.00403,4,2021,2
"46","WPS106",0.00509,4,2021,2
"47","WPS107",0.00204,0,1986,37
"48","WPS108",0.00207,0,1986,37
"49","WPS109",0.00204,0,1986,37
"50","WPS110",0.00201,0,1986,37
"51","WPS111",0.00229,0,1986,37
"52","WPS112",0.00696,4,2022,1
"53","WPS113",0.00477,2,2022,1
"54","WPS114",0.0028,2,2022,1
"55","WPS122",0.00453,3,2020,3
"56","WPS123",0.00415,3,2020,3
"57","WPS124",0.00461,3,2020,3
"58","WPS125",0.00431,4,2020,3
"59","WPS126",0.00366,4,2020,3
"60","WPS127",0.00242,4,2020,3
"61","WPS128",0.00234,4,2020,3
"62","WPS129",0.00259,3,2020,3
"63","WPS130",0.00471,3,2020,3
"64","WPS131",0.00679,4,2020,3
"65","WPS132",0.00564,4,2020,3
"66","WPS133",0.00538,4,2020,3
"67","WPS134",0.0043,4,2020,3
"68","WPS135",0.00189,0,2004,19
"69","WPS136",0.00251,0,1986,37
"70","WPS137",0.00204,0,2004,19
"71","WPS138",0.00338,0,2004,19
"72","WPS139",0.00259,0,2004,19
"73","WPS140",0.00258,0,2004,19
"74","WPS141",0.00192,0,2003,20
"75","WPS142",0.00193,0,1999,24
"76","WPS143",0.00224,0,1999,24
"77","WPS144",0.00208,0,1999,24
"78","WPS145",0.0023,0,2006,17
"79","WPS146",0.00531,3,2017,6
"80","WPS147",0.00645,3,2017,6
"81","WPS148",0.0036,3,2017,6
"82","WPS149",0.00386,3,2017,6
"83","WPS150",0.00543,3,2017,6
"84","WPS151",0.022,3,2020,3
"85","WPS152",0.00212,3,2020,3
"86","WPS153",0.00222,3,2020,3
"87","WPS154",0.00235,3,2020,3
"88","WPS156",0.00218,3,2020,3
"89","WPS157",0.00222,3,2020,3
"90","WPS158",0.00392,3,2020,3
"91","WPS159",0.00638,3,2020,3
"92","WPS160",0.00383,3,2020,3
"93","WPS161",0.00289,3,2020,3
"94","WPS162",0.00453,3,2020,3
"95","WPS163",0.00579,1,2020,3
"96","WPS168",0.00474,0,2011,12
"97","WPS169",0.00249,0,2011,12
"98","WPS170",0.00286,0,1986,37
"99","WPS171",0.00238,0,1986,37
"100","WPS172",0.00526,0,2011,12
"101","WPS173",0.00411,0,1986,37
"102","WPS174",0.00639,0,2011,12
"103","WPS175",0.00403,0,2011,12
"104","WPS177",0.00296,4,2017,6
"105","WPS178",0.00488,4,2017,6
"106","WPS179",0.00583,4,2017,6
"107","WPS180",0.00584,4,2017,6
"108","WPS181",0.00503,4,2017,6
"109","WPS187",0.00465,4,2017,6
"110","WPS192",0.00449,3,2020,3
"111","WPS195",0.00475,3,2020,3
"112","WPS196",0.0042,3,2020,3
"113","WPS197",0.00342,3,2020,3
"114","WPS201",0.00236,3,2017,6
"115","WPS202",0.00614,3,2017,6
