Location,Transect,Species,QPWS_within,Number_seedlings,Number_saplings,Number_mature,Average_cones,Latitude,Longitude,Year_measured
Deongwar,DB1,torulosa,Y,95,16,8,0,-27.31778,152.225,2022
Deongwar,DB2,torulosa,Y,0,0,2,0,-27.31878,152.22469,2022
Deongwar,DB3,torulosa,N,0,6,11,0,-27.31875,152.22723,2022
Deongwar,DB4,torulosa,Y,0,6,10,0,-27.32695,152.21842,2022
Gatton,GB1,littoralis,Y,0,1,7,0,-27.60259,152.30561,2022
Lockyer,LL1,torulosa,N,0,0,4,0,-27.49865,152.15983,2022
Lockyer,LH1,torulosa,Y,0,0,2,125,-27.46724,152.17768,2022
Lockyer,LL2,torulosa,Y,0,2,2,0,-27.47705,152.1616,2022
Lockyer,LH2,torulosa,Y,0,0,2,0,-27.46609,152.17576,2023
Lockyer,LL3,torulosa,N,10,8,5,250,-27.45667,152.19496,2023
Lockyer,LH3,torulosa,Y,0,0,3,0,-27.49773,152.21617,2023
Lockyer,LL4,torulosa,N,0,1,14,0,-27.45566,152.19341,2023
Lockyer,LH4,torulosa,Y,1,4,10,120,-27.47202,152.21784,2023
Lockyer,LL5,torulosa,N,0,0,2,0,-27.45337,152.19924,2023
Lockyer,LH5,torulosa,Y,0,6,4,15,-27.46224,152.22031,2023
Lockyer,LL6,torulosa,N,9,4,17,23,-27.45154,152.19775,2023
Lockyer,LH6,torulosa,Y,1,1,3,15,-27.47021,152.22727,2023
Lockyer,LL7,torulosa,N,2,11,24,40,-27.45282,152.19738,2023
Lockyer,LL8,torulosa,N,0,0,5,500,-27.45427,152.19644,2023
Lockyer,LH8,torulosa,Y,2,1,5,7,-27.49852,152.2174,2023
Hidden_vale,HLit1,littoralis,N,2,37,15,27,-27.71367,152.44638,2023
Hidden_vale,HLit2,littoralis,N,3,57,22,2,-27.7292,152.43682,2023
Dwyers_scrub,DTLit1,littoralis,Y,3,94,3,16,-27.70745,152.08873,2023
Main,ML1,torulosa,Y,2,7,11,40,-27.97793,152.35292,2023
Main,ML2,torulosa,Y,0,4,30,1,-27.97754,152.34231,2023
Barney,BTLit2,littoralis,N,1,7,1,76,-28.24014,152.73011,2023
Barney,BTLit1,littoralis,N,0,7,2,37,-28.23805,152.72728,2023
Barney,BTHLit1,littoralis,Y,5,17,4,8,-28.28306,152.72639,2023
Barney,BTLit3,littoralis,N,1,6,2,40,-28.27745,152.73888,2023
Barney,BTL1,torulosa,N,0,8,2,15,-28.24074,152.65541,2023
Barney,BTL2,torulosa,N,1,1,4,24,-28.27824,152.73827,2023
Barney,BTH1,torulosa,Y,0,0,9,129,-28.23584,152.71584,2023
Barney,BTH2,torulosa,Y,0,42,22,250,-28.23694,152.71874,2023
Gillies,GIL1,torulosa,N,0,11,4,25,-28.27195,152.76854,2023
Barney,BTH3,torulosa,Y,0,14,8,222,-28.28369,152.72816,2023
Bulimbah,BUL2,torulosa,N,19,40,5,10,-28.23515,152.63733,2023
Bartopia,BAR1,torulosa,N,1,8,3,5,-28.23284,152.6328,2023
Bulimbah,BUL1,torulosa,N,3,14,5,0,-28.23691,152.64244,2023
Bartopia,BAR2,torulosa,N,1,9,9,0,-28.23437,152.63408,2023
Waterfall,WATER,torulosa,N,2,3,7,83,-28.22731,152.65842,2023
