Column1,ID,Group1,Group2,Group3,Group4,Group5,Group6,Group7,Group8,is_equal
1,WPS3,5,5,3,2,4,7,6,1,FALSE
2,WPS127,8,8,5,7,4,6,2,5,FALSE
3,WPS128,2,1,2,6,1,6,5,4,FALSE
4,WPS87,3,5,1,5,4,8,3,6,FALSE
5,WPS88,1,4,3,8,6,4,8,2,FALSE
6,WPS89,3,4,1,8,1,2,6,5,FALSE
7,WPS90,4,7,5,4,3,6,5,8,FALSE
8,WPS91,3,3,7,4,7,8,6,3,FALSE
9,WPS92,2,2,7,6,1,8,4,3,FALSE
10,WPS93,5,5,7,4,6,5,2,3,FALSE
11,WPS94,8,7,4,2,4,5,1,6,FALSE
12,WPS95,1,5,5,8,3,6,2,7,FALSE
13,WPS96,8,1,2,5,3,4,6,1,FALSE
14,WPS107,7,7,4,6,6,8,3,8,FALSE
15,WPS108,2,2,1,8,4,5,5,6,FALSE
16,WPS109,3,3,1,3,8,6,7,5,FALSE
17,WPS110,2,2,1,6,7,5,3,8,FALSE
18,WPS111,6,1,1,8,2,3,5,7,FALSE
19,WPS129,8,8,5,7,3,5,2,8,FALSE
20,WPS135,8,4,1,5,3,7,8,4,FALSE
21,WPS136,4,4,1,8,3,7,3,5,FALSE
22,WPS137,3,3,1,5,6,1,7,8,FALSE
23,WPS139,6,7,5,3,2,3,6,4,FALSE
24,WPS140,7,2,6,5,3,8,3,7,FALSE
25,WPS141,8,3,5,8,2,3,4,6,FALSE
26,WPS142,2,4,1,6,7,3,8,7,FALSE
27,WPS143,7,2,4,8,3,2,1,5,FALSE
28,WPS144,6,7,6,5,1,8,8,3,FALSE
29,WPS145,2,4,1,6,1,8,4,6,FALSE
30,WPS151,7,7,7,3,5,6,4,8,FALSE
31,WPS152,2,5,3,8,4,6,2,5,FALSE
32,WPS153,2,2,7,5,4,2,8,1,FALSE
33,WPS154,4,1,5,8,6,3,4,2,FALSE
34,WPS156,1,1,1,4,2,3,7,5,FALSE
35,WPS157,3,7,2,6,4,5,8,3,FALSE
36,WPS169,6,2,7,5,7,8,8,4,FALSE
37,WPS171,2,2,1,6,4,5,4,7,FALSE
